Campaign,Ad Group,Keyword,Criterion Type,Status
Search - Pokemon,Pokemon - Service & Price,cheapest pokemon card grading,Phrase,Paused
Search - Pokemon,Pokemon - Estimate & Worth Grading,pokemon card grade estimate,Exact,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,pokemon card centering check,Phrase,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,pokemon card centering app,Exact,Enabled
Search - Pokemon,Pokemon - Estimate & Worth Grading,pokemon card pre grading,Exact,Enabled
Search - Pokemon,Pokemon - Service & Price,pokemon card grader,Exact,Enabled
Search - Pokemon,Pokemon - Estimate & Worth Grading,is my pokemon card worth grading,Exact,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,pokemon card centering check,Exact,Enabled
Search - Pokemon,Pokemon - Grading App,pokemon card grading app,Phrase,Enabled
Search - Pokemon,Pokemon - Estimate & Worth Grading,pokemon card grading estimate,Exact,Enabled
Search - Pokemon,Pokemon - Online & From Photo,instant pokemon card grading,Exact,Enabled
Search - Pokemon,Pokemon - Online & From Photo,pokemon card grading,Exact,Enabled
Search - Pokemon,Pokemon - Service & Price,ai pokemon card grader,Exact,Enabled
Search - Pokemon,Pokemon - Online & From Photo,online pokemon card grading,Exact,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,pokemon card condition app,Exact,Enabled
Search - Pokemon,Pokemon - Online & From Photo,grade pokemon card online,Exact,Enabled
Search - Pokemon,Pokemon - Grading App,scan and grade pokemon cards,Exact,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,pokemon card subgrade app,Exact,Enabled
Search - Pokemon,Pokemon - Online & From Photo,grade pokemon card from photo,Exact,Enabled
Search - Pokemon,Pokemon - Grading App,scan pokemon card for grade,Exact,Enabled
Search - Pokemon,Pokemon - Grading App,pokemon card grading scanner,Exact,Enabled
Search - Pokemon,Pokemon - Online & From Photo,fast pokemon card grading,Exact,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,pokemon card condition grader,Exact,Enabled
Search - Pokemon,Pokemon - Estimate & Worth Grading,check pokemon card before grading,Exact,Enabled
Search - Pokemon,Pokemon - Online & From Photo,pokemon card grading online,Exact,Enabled
Search - Pokemon,Pokemon - Service & Price,cheapest pokemon card grading,Exact,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,check pokemon card condition online,Phrase,Enabled
Search - Pokemon,Pokemon - Service & Price,ai pokemon card grading,Exact,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,pokemon card condition check,Phrase,Enabled
Search - Pokemon,Pokemon - Online & From Photo,online pokemon card grading,Phrase,Enabled
Search - Pokemon,Pokemon - Service & Price,pokemon card grading service,Exact,Enabled
