Campaign,Ad Group,Max CPC,Ad Group Type,Ad Group Status
Search - Pokemon,Pokemon - Service & Price,0.60,Standard,Enabled
Search - Pokemon,Pokemon - Estimate & Worth Grading,0.60,Standard,Enabled
Search - Pokemon,Pokemon - Centering & Subgrades,0.60,Standard,Enabled
Search - Pokemon,Pokemon - Grading App,0.60,Standard,Enabled
Search - Pokemon,Pokemon - Online & From Photo,0.60,Standard,Enabled
Search-sports,Sports - Online & From Photo,0.60,Standard,Enabled
Search-sports,Sports - Estimate & Worth Grading,0.60,Standard,Enabled
Search-sports,Sports - Players,0.60,Standard,Enabled
Search-sports,Sports - Grading App,0.60,Standard,Enabled
Search-sports,Sports - Service & Price,0.60,Standard,Enabled
Search-sports,Sports - Centering & Subgrades,0.60,Standard,Enabled
Search-sports,Sports - Brands,0.60,Standard,Enabled
Search-general audience,General - AI Card Grader,0.60,Standard,Enabled
Search-general audience,General - Grading App,0.60,Standard,Enabled
Search-general audience,General - Centering & Subgrades,0.60,Standard,Enabled
Search-general audience,General - Online & From Photo,0.60,Standard,Enabled
Search-general audience,General - Estimate & Checker,0.60,Standard,Enabled
Search-general audience,General - TCG Grading,0.60,Standard,Enabled
Search-general audience,General - Collectible & Non-Sport,0.60,Standard,Enabled
Search-enterprise,Enterprise - Wholesale & In-Store,2.00,Standard,Enabled
Search-enterprise,Enterprise - Dealers & Card Shows,2.00,Standard,Enabled
Search-enterprise,Enterprise - Breakers & Streamers,2.00,Standard,Enabled
