Campaign,Ad Group,Ad type,Final URL,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4
Search - Pokemon,Pokemon - Centering & Subgrades,Responsive search ad,https://www.dcmgrading.com/pokemon-grading,Enabled,Pokémon Card Centering Check,Pokémon Card Subgrades,Measure Centering From A Photo,See Every Deduction Explained,"Corners, Edges & Surface",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search - Pokemon,Pokemon - Grading App,Responsive search ad,https://www.dcmgrading.com/pokemon-grading,Enabled,Pokémon Card Grading App,Scan & Grade Pokémon Cards,Grade From Your Phone,DCM Optic Grades Every Card,iPhone & Android App,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search - Pokemon,Pokemon - Estimate & Worth Grading,Responsive search ad,https://www.dcmgrading.com/pokemon-grading,Enabled,Pokémon Card Grade Estimate,Is Your Pokémon Card A 10?,Grade It Yourself In A Minute,See The Grade And The Reason,"Full Grading, Not A Guess",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search - Pokemon,Pokemon - Service & Price,Responsive search ad,https://www.dcmgrading.com/pokemon-grading,Enabled,Pokémon Card Grading Service,Grade Pokémon Cards From $0.50,Grade Raw Pokémon Cards Fast,"Slab, Label & Sell At Home",A Full Grading Platform,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search - Pokemon,Pokemon - Online & From Photo,Responsive search ad,https://www.dcmgrading.com/pokemon-grading,Enabled,Grade Pokémon Cards From Photo,Online Pokémon Card Grading,Instant Pokémon Card Grading,Pokémon Grades In A Minute,Digital Pokémon Card Grading,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-sports,Sports - Players,Responsive search ad,https://www.dcmgrading.com/sports-grading,Enabled,Grade Your Rookie Card Today,Sports Card Grading From Photo,"Jordan, Brady, Ohtani & More",Subgrades For Any Player Card,Grade Raw Rookies At Home,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-sports,Sports - Brands,Responsive search ad,https://www.dcmgrading.com/sports-grading,Enabled,"Panini, Topps & Bowman Grading",Grade Prizm & Chrome At Home,Sports Card Grading From Photo,Subgrades On Every Parallel,Live Sports Card Pricing,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-sports,Sports - Centering & Subgrades,Responsive search ad,https://www.dcmgrading.com/sports-grading,Enabled,Sports Card Centering Check,Sports Card Subgrades,Measure Centering From A Photo,See Every Deduction Explained,"Corners, Edges & Surface",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-sports,Sports - Grading App,Responsive search ad,https://www.dcmgrading.com/sports-grading,Enabled,Sports Card Grading App,Scan & Grade Sports Cards,Grade From Your Phone,DCM Optic Grades Every Card,iPhone & Android App,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-sports,Sports - Estimate & Worth Grading,Responsive search ad,https://www.dcmgrading.com/sports-grading,Enabled,Sports Card Grade Estimate,Is Your Card A 10? Find Out,Grade It Yourself In A Minute,See The Grade And The Reason,"Full Grading, Not A Guess",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
