Campaign,Asset Group,Search theme,Status
Sales-Performance Max - ALL,Pokemon,pokemon card grading,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card grading app,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card grader,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon centering check,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card value,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card worth,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card condition,Enabled
Sales-Performance Max - ALL,Pokemon,grade charizard,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card subgrades,Enabled
Sales-Performance Max - ALL,Pokemon,instant pokemon grading,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card scanner,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card price check,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon slab labels,Enabled
Sales-Performance Max - ALL,Pokemon,sell pokemon cards ebay,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card collection,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon tcg grading,Enabled
Sales-Performance Max - ALL,Pokemon,vintage pokemon grading,Enabled
Sales-Performance Max - ALL,Pokemon,pokemon card estimate,Enabled
Sales-Performance Max - ALL,Pokemon,grade pokemon from photo,Enabled
Sales-Performance Max - ALL,Sports,sports card grading,Enabled
Sales-Performance Max - ALL,Sports,grade sports cards online,Enabled
Sales-Performance Max - ALL,Sports,sports card grading app,Enabled
Sales-Performance Max - ALL,Sports,baseball card grading,Enabled
Sales-Performance Max - ALL,Sports,football card grading,Enabled
Sales-Performance Max - ALL,Sports,basketball card grading,Enabled
Sales-Performance Max - ALL,Sports,rookie card grading,Enabled
Sales-Performance Max - ALL,Sports,sports card centering,Enabled
Sales-Performance Max - ALL,Sports,sports card value,Enabled
Sales-Performance Max - ALL,Sports,sports card price check,Enabled
Sales-Performance Max - ALL,Sports,grade panini prizm,Enabled
Sales-Performance Max - ALL,Sports,grade topps chrome,Enabled
Sales-Performance Max - ALL,Sports,bowman chrome grading,Enabled
Sales-Performance Max - ALL,Sports,sports card subgrades,Enabled
Sales-Performance Max - ALL,Sports,instant sports card grade,Enabled
Sales-Performance Max - ALL,Sports,sports card scanner,Enabled
Sales-Performance Max - ALL,Sports,sell sports cards ebay,Enabled
Sales-Performance Max - ALL,Sports,sports card collection,Enabled
Sales-Performance Max - ALL,Sports,grade michael jordan card,Enabled
Sales-Performance Max - ALL,Sports,grade rookie cards fast,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,tcg card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,trading card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,yugioh card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,mtg card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,lorcana card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,one piece card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,star wars card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,card grading app,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,trading card value,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,card centering check,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,collectible card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,tcg card value,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,card condition checker,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,instant card grading,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,card grading from photo,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,trading card subgrades,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,slab labels,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,sell tcg cards ebay,Enabled
Sales-Performance Max - ALL,TCG & Collectibles,card collection tracker,Enabled
