Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Maximum CPC bid limit,Start Date,End Date,Languages,Tracking template,Ad rotation,Campaign Status
Show - Pokemon Worlds San Francisco Aug 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-08-25,2026-08-30,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Collect-A-Con Richmond Aug 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-08-25,2026-08-30,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Collect-A-Con Charlotte Aug 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-08-25,2026-08-30,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Culture Collision Atlanta Sep 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-08-25,2026-09-06,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Collect-A-Con SF San Francisco Sep 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-02,2026-09-13,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Northeast Card Expo Stamford Sep 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-02,2026-09-13,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Pokemon Regionals Baltimore Sep 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-08,2026-09-20,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Raleigh Card Show Sep 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-09,2026-09-20,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Poke Fest Nashville Sep 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-15,2026-09-27,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Philly Show Philadelphia Sep 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-15,2026-09-27,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Collect-A-Con ATL Atlanta Sep 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-16,2026-09-27,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Midwest Monster Indianapolis Oct 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-22,2026-10-03,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Trading Card Con Nashville Oct 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-29,2026-10-11,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
Show - Pokemon Regionals Louisville Oct 2026,Search,Google search,8.00,Daily,Maximize clicks,1.00,2026-09-29,2026-10-11,en,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Optimize for clicks,Enabled
