Campaign,Keyword,Criterion Type,Status
Show - Pokemon Worlds San Francisco Aug 2026,jobs,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,hiring,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,salary,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,vendor application,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,booth application,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,results,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,standings,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,decklists,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,pairings,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,stream,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,live stream,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,hotel,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,parking,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,flights,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,psa,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,bgs,Campaign Negative Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,sgc,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,jobs,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,hiring,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,salary,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,vendor application,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,booth application,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,results,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,standings,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,decklists,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,pairings,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,stream,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,live stream,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,hotel,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,parking,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,flights,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,psa,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,bgs,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,sgc,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,jobs,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,hiring,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,salary,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,vendor application,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,booth application,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,results,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,standings,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,decklists,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,pairings,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,stream,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,live stream,Campaign Negative Phrase,Enabled
Show - Collect-A-Con Charlotte Aug 2026,hotel,Campaign Negative Phrase,Enabled
