Campaign,Ad Group,Max CPC,Ad Group Type,Ad Group Status
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,0.80,Standard,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,0.90,Standard,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,0.70,Standard,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,0.80,Standard,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Richmond Card Show,0.90,Standard,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Venue,0.70,Standard,Enabled
Show - Collect-A-Con Charlotte Aug 2026,Collect-A-Con Charlotte - Show Name,0.80,Standard,Enabled
Show - Collect-A-Con Charlotte Aug 2026,Collect-A-Con Charlotte - Charlotte Card Show,0.90,Standard,Enabled
Show - Collect-A-Con Charlotte Aug 2026,Collect-A-Con Charlotte - Venue,0.70,Standard,Enabled
Show - Culture Collision Atlanta Sep 2026,Culture Collision - Show Name,0.80,Standard,Enabled
Show - Culture Collision Atlanta Sep 2026,Culture Collision - Atlanta Card Show,0.90,Standard,Enabled
Show - Culture Collision Atlanta Sep 2026,Culture Collision - Venue,0.70,Standard,Enabled
Show - Collect-A-Con SF San Francisco Sep 2026,Collect-A-Con SF - Show Name,0.80,Standard,Enabled
Show - Collect-A-Con SF San Francisco Sep 2026,Collect-A-Con SF - San Francisco Card Show,0.90,Standard,Enabled
Show - Collect-A-Con SF San Francisco Sep 2026,Collect-A-Con SF - Venue,0.70,Standard,Enabled
Show - Northeast Card Expo Stamford Sep 2026,Northeast Card Expo - Show Name,0.80,Standard,Enabled
Show - Northeast Card Expo Stamford Sep 2026,Northeast Card Expo - Stamford Card Show,0.90,Standard,Enabled
Show - Northeast Card Expo Stamford Sep 2026,Northeast Card Expo - Venue,0.70,Standard,Enabled
Show - Pokemon Regionals Baltimore Sep 2026,Pokemon Regionals - Show Name,0.80,Standard,Enabled
Show - Pokemon Regionals Baltimore Sep 2026,Pokemon Regionals - Baltimore Card Show,0.90,Standard,Enabled
Show - Raleigh Card Show Sep 2026,Raleigh Card Show - Show Name,0.80,Standard,Enabled
Show - Raleigh Card Show Sep 2026,Raleigh Card Show - Raleigh Card Show,0.90,Standard,Enabled
Show - Poke Fest Nashville Sep 2026,Poke Fest - Show Name,0.80,Standard,Enabled
Show - Poke Fest Nashville Sep 2026,Poke Fest - Nashville Card Show,0.90,Standard,Enabled
Show - Poke Fest Nashville Sep 2026,Poke Fest - Venue,0.70,Standard,Enabled
Show - Philly Show Philadelphia Sep 2026,Philly Show - Show Name,0.80,Standard,Enabled
Show - Philly Show Philadelphia Sep 2026,Philly Show - Philadelphia Card Show,0.90,Standard,Enabled
Show - Philly Show Philadelphia Sep 2026,Philly Show - Venue,0.70,Standard,Enabled
Show - Collect-A-Con ATL Atlanta Sep 2026,Collect-A-Con ATL - Show Name,0.80,Standard,Enabled
Show - Collect-A-Con ATL Atlanta Sep 2026,Collect-A-Con ATL - Atlanta Card Show,0.90,Standard,Enabled
Show - Collect-A-Con ATL Atlanta Sep 2026,Collect-A-Con ATL - Venue,0.70,Standard,Enabled
Show - Midwest Monster Indianapolis Oct 2026,Midwest Monster - Show Name,0.80,Standard,Enabled
Show - Midwest Monster Indianapolis Oct 2026,Midwest Monster - Indianapolis Card Show,0.90,Standard,Enabled
Show - Midwest Monster Indianapolis Oct 2026,Midwest Monster - Venue,0.70,Standard,Enabled
Show - Trading Card Con Nashville Oct 2026,Trading Card Con - Show Name,0.80,Standard,Enabled
Show - Trading Card Con Nashville Oct 2026,Trading Card Con - Nashville Card Show,0.90,Standard,Enabled
Show - Pokemon Regionals Louisville Oct 2026,Pokemon Regionals - Show Name,0.80,Standard,Enabled
Show - Pokemon Regionals Louisville Oct 2026,Pokemon Regionals - Louisville Card Show,0.90,Standard,Enabled
Show - Collect-A-Con Chicago Oct 2026,Collect-A-Con Chicago - Show Name,0.80,Standard,Enabled
Show - Collect-A-Con Chicago Oct 2026,Collect-A-Con Chicago - Chicago Card Show,0.90,Standard,Enabled
Show - Collect-A-Con Chicago Oct 2026,Collect-A-Con Chicago - Venue,0.70,Standard,Enabled
Show - Dallas Card Show Oct 2026,Dallas Card Show - Show Name,0.80,Standard,Enabled
Show - Dallas Card Show Oct 2026,Dallas Card Show - Dallas Card Show,0.90,Standard,Enabled
Show - Dallas Card Show Oct 2026,Dallas Card Show - Venue,0.70,Standard,Enabled
Show - Chantilly Show Oct 2026,Chantilly Show - Show Name,0.80,Standard,Enabled
Show - Chantilly Show Oct 2026,Chantilly Show - Washington DC Card Show,0.90,Standard,Enabled
Show - Chantilly Show Oct 2026,Chantilly Show - Venue,0.70,Standard,Enabled
Show - Northeast Card Expo Portland Oct 2026,Northeast Card Expo - Show Name,0.80,Standard,Enabled
Show - Northeast Card Expo Portland Oct 2026,Northeast Card Expo - Portland Card Show,0.90,Standard,Enabled
Show - Northeast Card Expo Portland Oct 2026,Northeast Card Expo - Venue,0.70,Standard,Enabled
Show - Fall Classic Long Island Oct 2026,Fall Classic - Show Name,0.80,Standard,Enabled
Show - Fall Classic Long Island Oct 2026,Fall Classic - Long Island Card Show,0.90,Standard,Enabled
Show - Fall Classic Long Island Oct 2026,Fall Classic - Venue,0.70,Standard,Enabled
Show - Philly Non-Sports Philadelphia Oct 2026,Philly Non-Sports - Show Name,0.80,Standard,Enabled
Show - Philly Non-Sports Philadelphia Oct 2026,Philly Non-Sports - Philadelphia Card Show,0.90,Standard,Enabled
Show - Philly Non-Sports Philadelphia Oct 2026,Philly Non-Sports - Venue,0.70,Standard,Enabled
Show - NASH-IONAL Nashville Oct 2026,NASH-IONAL - Show Name,0.80,Standard,Enabled
Show - NASH-IONAL Nashville Oct 2026,NASH-IONAL - Nashville Card Show,0.90,Standard,Enabled
Show - NASH-IONAL Nashville Oct 2026,NASH-IONAL - Venue,0.70,Standard,Enabled
Show - Collect-A-Con Houston Nov 2026,Collect-A-Con Houston - Show Name,0.80,Standard,Enabled
Show - Collect-A-Con Houston Nov 2026,Collect-A-Con Houston - Houston Card Show,0.90,Standard,Enabled
Show - Collect-A-Con Houston Nov 2026,Collect-A-Con Houston - Venue,0.70,Standard,Enabled
Show - MagicCon Atlanta Nov 2026,MagicCon Atlanta - Show Name,0.80,Standard,Enabled
Show - MagicCon Atlanta Nov 2026,MagicCon Atlanta - Atlanta Card Show,0.90,Standard,Enabled
Show - MagicCon Atlanta Nov 2026,MagicCon Atlanta - Venue,0.70,Standard,Enabled
Show - Sports Spectacular Chicago Nov 2026,Sports Spectacular - Show Name,0.80,Standard,Enabled
Show - Sports Spectacular Chicago Nov 2026,Sports Spectacular - Chicago Card Show,0.90,Standard,Enabled
Show - Sports Spectacular Chicago Nov 2026,Sports Spectacular - Venue,0.70,Standard,Enabled
Show - Collect-A-Con NJ New Jersey Nov 2026,Collect-A-Con NJ - Show Name,0.80,Standard,Enabled
Show - Collect-A-Con NJ New Jersey Nov 2026,Collect-A-Con NJ - New Jersey Card Show,0.90,Standard,Enabled
Show - Collect-A-Con NJ New Jersey Nov 2026,Collect-A-Con NJ - Venue,0.70,Standard,Enabled
Show - Northeast Card Expo Boston Nov 2026,Northeast Card Expo - Show Name,0.80,Standard,Enabled
Show - Northeast Card Expo Boston Nov 2026,Northeast Card Expo - Boston Card Show,0.90,Standard,Enabled
Show - Northeast Card Expo Boston Nov 2026,Northeast Card Expo - Venue,0.70,Standard,Enabled
Show - Pokemon Regionals Las Vegas Dec 2026,Pokemon Regionals - Show Name,0.80,Standard,Enabled
Show - Pokemon Regionals Las Vegas Dec 2026,Pokemon Regionals - Las Vegas Card Show,0.90,Standard,Enabled
Show - Collect-A-Con LA Los Angeles Dec 2026,Collect-A-Con LA - Show Name,0.80,Standard,Enabled
Show - Collect-A-Con LA Los Angeles Dec 2026,Collect-A-Con LA - Los Angeles Card Show,0.90,Standard,Enabled
Show - Collect-A-Con LA Los Angeles Dec 2026,Collect-A-Con LA - Venue,0.70,Standard,Enabled
Show - Philly Show Philadelphia Dec 2026,Philly Show - Show Name,0.80,Standard,Enabled
Show - Philly Show Philadelphia Dec 2026,Philly Show - Philadelphia Card Show,0.90,Standard,Enabled
Show - Philly Show Philadelphia Dec 2026,Philly Show - Venue,0.70,Standard,Enabled
Show - Orlando Card Show Dec 2026,Orlando Card Show - Show Name,0.80,Standard,Enabled
Show - Orlando Card Show Dec 2026,Orlando Card Show - Orlando Card Show,0.90,Standard,Enabled
Show - Orlando Card Show Dec 2026,Orlando Card Show - Venue,0.70,Standard,Enabled
