Campaign,Ad Group,Keyword,Criterion Type,Status
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon world championships 2026,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon world championships 2026,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds 2026,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds 2026,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds san francisco,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds san francisco,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds card show,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds card show,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds tickets,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds tickets,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds dates,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds dates,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds schedule,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds schedule,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds hours,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds hours,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds vendors,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds vendors,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds august,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,pokemon worlds august,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,card show san francisco,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,card show san francisco,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco card show,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco card show,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco card show august,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco card show august,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,card show san francisco this weekend,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,card show san francisco this weekend,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,card show near san francisco,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,card show near san francisco,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,trading card show san francisco,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,trading card show san francisco,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco card convention,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco card convention,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,card shows in california,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,card shows in california,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,california card show 2026,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,california card show 2026,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco pokemon card show,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco pokemon card show,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon card show san francisco,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon card show san francisco,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco tcg show,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,san francisco tcg show,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon event san francisco,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon event san francisco,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon regional san francisco,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon regional san francisco,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon championship san francisco,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon championship san francisco,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon tournament san francisco 2026,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,pokemon tournament san francisco 2026,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,moscone center card show,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,moscone center card show,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,moscone center august 2026,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,moscone center august 2026,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,moscone center events august,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,moscone center events august,Phrase,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,what is at moscone center this weekend,Exact,Enabled
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,what is at moscone center this weekend,Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond,Exact,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond,Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond 2026,Exact,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond 2026,Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond richmond,Exact,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond richmond,Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond card show,Exact,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond card show,Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond tickets,Exact,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond tickets,Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond dates,Exact,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond dates,Phrase,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond schedule,Exact,Enabled
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,collect-a-con richmond schedule,Phrase,Enabled
